#2,4,8,16,32 iv run:
#key_index key_hex budget success seconds
27 fd2315ada9ea6110eb65eb2bf88a28b509ceaff8e002a59f1f9332448b41b162 32 1 skip-monotone
28 92b9350c37f61b3cff167f193ab129d5f44ecd1e165b0d971c3200c7bf4ef2d3 2 1 23.215
28 92b9350c37f61b3cff167f193ab129d5f44ecd1e165b0d971c3200c7bf4ef2d3 4 1 skip-monotone
28 92b9350c37f61b3cff167f193ab129d5f44ecd1e165b0d971c3200c7bf4ef2d3 8 1 skip-monotone
28 92b9350c37f61b3cff167f193ab129d5f44ecd1e165b0d971c3200c7bf4ef2d3 16 1 skip-monotone
28 92b9350c37f61b3cff167f193ab129d5f44ecd1e165b0d971c3200c7bf4ef2d3 32 1 skip-monotone
29 c5241416e56d492c447cffd20316272b673628570c37b082653989f460717655 2 0 12.089
29 c5241416e56d492c447cffd20316272b673628570c37b082653989f460717655 4 0 12.082
29 c5241416e56d492c447cffd20316272b673628570c37b082653989f460717655 8 1 25.228
29 c5241416e56d492c447cffd20316272b673628570c37b082653989f460717655 16 1 skip-monotone
29 c5241416e56d492c447cffd20316272b673628570c37b082653989f460717655 32 1 skip-monotone
30 ad3caf0526c8a501560cb0b3026e9ca8c31e371dbd19f178972701ad069d9144 2 0 12.083
30 ad3caf0526c8a501560cb0b3026e9ca8c31e371dbd19f178972701ad069d9144 4 1 24.295
30 ad3caf0526c8a501560cb0b3026e9ca8c31e371dbd19f178972701ad069d9144 8 1 skip-monotone
30 ad3caf0526c8a501560cb0b3026e9ca8c31e371dbd19f178972701ad069d9144 16 1 skip-monotone
30 ad3caf0526c8a501560cb0b3026e9ca8c31e371dbd19f178972701ad069d9144 32 1 skip-monotone
31 0cd9bf4eee0ca3e3bd6575c1c8dd55707bab7e197fc77a6de91879f2afa9b613 2 0 9.104
31 0cd9bf4eee0ca3e3bd6575c1c8dd55707bab7e197fc77a6de91879f2afa9b613 4 0 9.094
31 0cd9bf4eee0ca3e3bd6575c1c8dd55707bab7e197fc77a6de91879f2afa9b613 8 1 32.281
31 0cd9bf4eee0ca3e3bd6575c1c8dd55707bab7e197fc77a6de91879f2afa9b613 16 1 skip-monotone
31 0cd9bf4eee0ca3e3bd6575c1c8dd55707bab7e197fc77a6de91879f2afa9b613 32 1 skip-monotone
32 7e97158b36917f284c92af17b456de74f0d86431bf72960ff07b5272a920a0ee 2 0 9.064
32 7e97158b36917f284c92af17b456de74f0d86431bf72960ff07b5272a920a0ee 4 0 9.105
32 7e97158b36917f284c92af17b456de74f0d86431bf72960ff07b5272a920a0ee 8 1 24.187
32 7e97158b36917f284c92af17b456de74f0d86431bf72960ff07b5272a920a0ee 16 1 skip-monotone
32 7e97158b36917f284c92af17b456de74f0d86431bf72960ff07b5272a920a0ee 32 1 skip-monotone
33 1c215528e595767f786af6930a731e2b89c761f69ff6a443c8026aeed4fe7d89 2 0 12.091
33 1c215528e595767f786af6930a731e2b89c761f69ff6a443c8026aeed4fe7d89 4 1 22.193
33 1c215528e595767f786af6930a731e2b89c761f69ff6a443c8026aeed4fe7d89 8 1 skip-monotone
33 1c215528e595767f786af6930a731e2b89c761f69ff6a443c8026aeed4fe7d89 16 1 skip-monotone
33 1c215528e595767f786af6930a731e2b89c761f69ff6a443c8026aeed4fe7d89 32 1 skip-monotone
34 d42acac9b7ea86a5276184c7ab66db05d4535fef84f8605a104746aef8c4124a 2 0 11.078
34 d42acac9b7ea86a5276184c7ab66db05d4535fef84f8605a104746aef8c4124a 4 0 14.124
34 d42acac9b7ea86a5276184c7ab66db05d4535fef84f8605a104746aef8c4124a 8 1 26.240
34 d42acac9b7ea86a5276184c7ab66db05d4535fef84f8605a104746aef8c4124a 16 1 skip-monotone
34 d42acac9b7ea86a5276184c7ab66db05d4535fef84f8605a104746aef8c4124a 32 1 skip-monotone
35 aaa70127435c9fa51a8cb16ad71d6d1c4e4c96678393825af2514d3d0c4e0d87 2 0 10.092
35 aaa70127435c9fa51a8cb16ad71d6d1c4e4c96678393825af2514d3d0c4e0d87 4 1 22.272
35 aaa70127435c9fa51a8cb16ad71d6d1c4e4c96678393825af2514d3d0c4e0d87 8 1 skip-monotone
35 aaa70127435c9fa51a8cb16ad71d6d1c4e4c96678393825af2514d3d0c4e0d87 16 1 skip-monotone
35 aaa70127435c9fa51a8cb16ad71d6d1c4e4c96678393825af2514d3d0c4e0d87 32 1 skip-monotone
36 cf4cff50cb7e622efb48e8852ef843b48cf46154056f25c1e49ee41cecfe3d99 2 0 9.087
36 cf4cff50cb7e622efb48e8852ef843b48cf46154056f25c1e49ee41cecfe3d99 4 1 24.232
36 cf4cff50cb7e622efb48e8852ef843b48cf46154056f25c1e49ee41cecfe3d99 8 1 skip-monotone
36 cf4cff50cb7e622efb48e8852ef843b48cf46154056f25c1e49ee41cecfe3d99 16 1 skip-monotone
36 cf4cff50cb7e622efb48e8852ef843b48cf46154056f25c1e49ee41cecfe3d99 32 1 skip-monotone
37 be79ff561c59d7acbf1949aad833ef7f0772e4885b98870433c1670732d953bb 2 0 14.124
37 be79ff561c59d7acbf1949aad833ef7f0772e4885b98870433c1670732d953bb 4 1 20.215
37 be79ff561c59d7acbf1949aad833ef7f0772e4885b98870433c1670732d953bb 8 1 skip-monotone
37 be79ff561c59d7acbf1949aad833ef7f0772e4885b98870433c1670732d953bb 16 1 skip-monotone
37 be79ff561c59d7acbf1949aad833ef7f0772e4885b98870433c1670732d953bb 32 1 skip-monotone
38 f90fdfef64367fc0e97743608b5b85f0da20d96acb33ed72a06d654dfd94315e 2 1 21.201
