trial,key_hex,k8_hex,outer_success,true_lane_rank,outer_wall_seconds,inward_outcome,inward_success,inward_wall_seconds,first_tier_failure,joint_success
81,69D9CFD08CF0A81A8B65B6C7EE5134FE2123DDFA4D23DBB8AEDCD59F68B0D806,68B0D806,1,1,0.192307067,SUCCESS,1,135.040874407,,1
82,C983E61EB541E43D5AC4A1E838298945EEFBE9F21DE1A22CADB8107D34C89684,34C89684,1,1,0.220208981,SUCCESS,1,253.512099905,,1
83,B4E5787E88E5E48B1117C5EB37C3DACC6321BB31C802BAA3B05102214877A20D,4877A20D,1,1,0.618605848,SUCCESS,1,183.519986808,,1
84,DDE076C7CE71AFA4316BD5605C4979B00DE23C3F0908696F060660E44F69F1D3,4F69F1D3,1,1,0.223403100,SUCCESS,1,161.222904892,,1
85,EAABB87EB7C35A983B76DA1D2A4235C8C631A53D20E2F7CC3F49A7F36747CA2F,6747CA2F,1,1,0.624973218,SUCCESS,1,152.094467629,,1
86,CA626361A8212E0302880BEFD585C8A3A5011386E8D48C31137033C45036F2AF,5036F2AF,1,1,0.279214291,SUCCESS,1,122.058156348,,1
87,5AB4CBB5A5731804216D09E4D1A97D0B9E7D94A33D8C65225F9F3BF9741C9F83,741C9F83,1,1,0.218893271,SUCCESS,1,103.615476063,,1
88,5801B967FA5A3D3296943C50DFB872007E32A3B83D708EECC82924BC9FFACEA1,9FFACEA1,1,1,0.630914619,SUCCESS,1,153.116561167,,1
89,A3316E98DC310D8F0C775BC61DFC8086EEB33B68C95302E1710A1B45EC77DB8B,EC77DB8B,1,1,0.649831124,INCONCLUSIVE,0,54.417885303,S4:s7:c0:tier4,0
90,D8521EC462CEB28BDB00569E247D2A3F36A4FBEDDF3408F4977930AB6618D2E3,6618D2E3,1,1,0.602433268,SUCCESS,1,92.815653916,,1
91,4E7D869E64FA5F4C9C24DB28DAB78BC3147E070585E260D98B10984F139E5869,139E5869,1,1,0.313954417,INCONCLUSIVE,0,3.982283412,S4:s7:c0:tier2,0
92,4B9886F33225367084D77FDEB81F5BC6C1AE6AD6AF17322DDD713B96842348C7,842348C7,1,1,0.127705707,SUCCESS,1,175.169554530,,1
93,C690FCF72BD45EB36A95951F3BE5B02605624E1D501B0B042A16B961E5CD9F7F,E5CD9F7F,1,1,0.209635753,SUCCESS,1,74.647259972,,1
94,E9106247DEF170496ADBBDBBE70B1A927055017618355AD0FA77BE3633DD04E5,33DD04E5,1,1,0.215726399,SUCCESS,1,228.352453586,,1
95,C7220CF54B417A5B94AD85212E7E0C79B4594B966E685778D9E476A7B1CEC5AF,B1CEC5AF,1,1,0.638045869,SUCCESS,1,168.599795614,,1
96,AC8CE17DCD03625D96A937379885F6BACCD8B9606731662E5FFF1E9B78FB200E,78FB200E,1,1,0.267082751,SUCCESS,1,202.124136709,,1
97,EA59FEF08A8032AB0DF08EDA179FF422E1A584458E83C3882F7420A55717903B,5717903B,1,1,0.250466242,SUCCESS,1,118.642977716,,1
98,F2E3A0128DE16FC5D9CDD94A62046E11192FC1E9C445C6B3D6C5F402F9A98E89,F9A98E89,1,1,0.216341511,SUCCESS,1,183.336669997,,1
99,4BFCC6DED00D7522B4F99408FFC36E644CC1EDECFE712F4737CDEE913D4BF4D6,3D4BF4D6,1,1,0.628938423,SUCCESS,1,233.622961665,,1
100,042606F5D3E5F6CF0E21F45DDFFC10081A007F08961060B0C80B64D4EF4ADEA3,EF4ADEA3,1,1,0.591342076,SUCCESS,1,151.140140956,,1
